1.59,40716,13.16,14.24,24.02,25.7,26.8,29.08,30.34,35.65,39.82,43.39
1.11,81887,1.59,14.75,15.83,25.61,27.29,28.39,30.67,31.93,37.24,41.41
1,94989,1.11,2.7,15.86,16.94,26.72,28.4,29.5,31.78,33.04,38.35
1.58,88709,6.8,13.13,14.71,18.2,19.31,21.07,22.58,32.46,34.64,36.49
16.58,31781,1.88,7.17,50.87,52.02,53.94,55.02,56.41,57.86,59.43,60.7
1.1,68419,16.58,18.46,23.75,67.45,68.6,70.52,71.6,72.99,74.44,76.01
2.13,40776,1.58,3.65,5.73,7.45,9.27,13.16,27.91,53.97,55.02,56.11
1.16,83226,2.13,3.71,5.78,7.86,9.58,11.4,15.29,30.04,56.1,57.15
1.4,66706,1.16,3.29,4.87,6.94,9.02,10.74,12.56,16.45,31.2,57.26
1.27,60231,1.4,2.56,4.69,6.27,8.34,10.42,12.14,13.96,17.85,32.6
1.27,79322,1.27,2.67,3.83,5.96,7.54,9.61,11.69,13.41,15.23,19.12
5.09,56180,3.14,4.23,5.23,6.56,7.83,9.1,10.5,11.66,13.79,15.37
5.41,40145,10.34,15.43,18.57,19.66,20.66,21.99,23.26,24.53,25.93,27.09
1.46,94575,5.41,15.75,20.84,23.98,25.07,26.07,27.4,28.67,29.94,31.34
1.73,37798,1.46,6.87,17.21,22.3,25.44,26.53,27.53,28.86,30.13,31.4
1.28,35125,1.73,3.19,8.6,18.94,24.03,27.17,28.26,29.26,30.59,31.86
11.77,38996,1.28,3.01,4.47,9.88,20.22,25.31,28.45,29.54,30.54,31.87
2.83,49265,11.77,13.05,14.78,16.24,21.65,31.99,37.08,40.22,41.31,42.31
7.67,82729,2.83,14.6,15.88,17.61,19.07,24.48,34.82,39.91,43.05,44.14
2.58,51093,7.67,10.5,22.27,23.55,25.28,26.74,32.15,42.49,47.58,50.72
1.59,53543,2.58,10.25,13.08,24.85,26.13,27.86,29.32,34.73,45.07,50.16
1.16,33860,1.59,4.17,11.84,14.67,26.44,27.72,29.45,30.91,36.32,46.66
4.96,49236,1.16,2.75,5.33,13,15.83,27.6,28.88,30.61,32.07,37.48
1.92,85405,4.96,6.12,7.71,10.29,17.96,20.79,32.56,33.84,35.57,37.03
1.1,42743,1.92,6.88,8.04,9.63,12.21,19.88,22.71,34.48,35.76,37.49
1.16,56845,1.1,3.02,7.98,9.14,10.73,13.31,20.98,23.81,35.58,36.86
2.37,62110,1.16,2.26,4.18,9.14,10.3,11.89,14.47,22.14,24.97,36.74
1.09,59498,2.37,3.53,4.63,6.55,11.51,12.67,14.26,16.84,24.51,27.34
2,57680,1.09,3.46,4.62,5.72,7.64,12.6,13.76,15.35,17.93,25.6
1.65,65019,2,3.09,5.46,6.62,7.72,9.64,14.6,15.76,17.35,19.93
2.3,95414,1.65,3.65,4.74,7.11,8.27,9.37,11.29,16.25,17.41,19
10.03,80849,2.3,3.95,5.95,7.04,9.41,10.57,11.67,13.59,18.55,19.71
30.59,48608,10.03,12.33,13.98,15.98,17.07,19.44,20.6,21.7,23.62,28.58
3.39,73120,1.06,31.65,41.68,43.98,45.63,47.63,48.72,51.09,52.25,53.35
1.59,77101,3.39,4.45,35.04,45.07,47.37,49.02,51.02,52.11,54.48,55.64
