배수,총배팅,1게임배수,2게임배수,3게임배수,4게임배수,5게임배수,6게임배수,7게임배수,8게임배수,9게임배수,10게임배수,100게임이득,50게임이득,10게임이득,5게임이득,3게임이득
1.79,45146,5.55,6.62,10.89,12.25,13.34,14.620000000000001,15.670000000000002,46.02,47.02,48.199999999999996,952170,555576,-356091,-196652,109963
1.63,56117,1.03,7.23,8.51,16.03,19.81,29.169999999999998,43.510000000000005,45.980000000000004,54.05000000000001,55.67,991551,459850,270274,-47466,-92854
1.38,82600,1.63,2.66,8.86,10.14,17.66,21.439999999999998,30.799999999999997,45.14000000000001,47.61000000000001,55.680000000000014,923318,437007,305269,-88012,-70276
2.26,56799,1.86,3.24,4.87,5.9,12.099999999999998,13.379999999999999,20.9,24.679999999999996,34.04,48.38000000000001,773028,467745,142482,-197427,-162174
5.12,76588,2.26,4.12,5.5,7.13,8.16,14.359999999999998,15.639999999999999,23.159999999999997,26.939999999999998,36.3,751751,577675,-212118,-242363,-136424
4.28,69250,9.14,14.260000000000002,16.52,18.380000000000003,19.76,21.39,22.42,28.619999999999997,29.9,37.42,938497,663808,-70622,17390,144541
1.75,92580,4.48,5.74,7.5600000000000005,10.89,12.46,18.11,19.520000000000003,21.69,30.03,31.78,858447,154922,368309,-66627,-102558
26.34,59794,9.57,13.95,15.85,18.26,19.42,21.17,25.650000000000002,26.91,28.73,32.06,621424,246579,17532,154997,259201
1.16,85069,26.34,35.91,40.29,42.19,44.6,45.760000000000005,47.510000000000005,51.99,53.25,55.07,842420,557102,211969,516574,562326
1.5,51436,3.25,4.41,30.75,40.31999999999999,44.699999999999996,46.599999999999994,49.01,50.17,51.92,56.4,900148,446130,239458,486990,165169
4.36,60187,1.5,4.75,5.91,32.25,41.81999999999999,46.199999999999996,48.099999999999994,50.51,51.67,53.42,733176,75500,213888,462339,-100639
1.27,39663,4.36,5.86,9.11,10.27,36.61,46.17999999999999,50.559999999999995,52.459999999999994,54.87,56.03,757525,97684,323842,168845,2150
1.15,64211,12.79,14.28,15.549999999999999,19.91,21.41,24.659999999999997,25.82,52.160000000000004,61.73,66.11,621569,103702,484471,-2519,-6195
1.12,49351,1.15,13.94,15.43,16.7,21.06,22.56,25.809999999999995,26.97,53.31,62.879999999999995,517280,25364,442448,-19891,-29648
4.1,65950,1.12,2.27,15.059999999999999,16.55,17.82,22.18,23.68,26.929999999999996,28.09,54.43,528131,68281,91976,-76869,61653
1.27,69031,4.1,5.22,6.369999999999999,19.159999999999997,20.65,21.92,26.28,27.78,31.029999999999994,32.19,571976,134969,-116864,-25982,-39009
3.39,33537,1.27,5.369999999999999,6.49,7.639999999999999,20.429999999999996,21.919999999999998,23.19,27.55,29.05,32.3,641677,175611,-69927,66445,-23207
6.76,68513,3.39,4.66,8.76,9.88,11.03,23.819999999999997,25.31,26.580000000000002,30.94,32.44,730038,262293,-41355,-38836,31838
1.1,82073,6.76,10.15,11.42,15.52,16.64,17.79,30.58,32.07,33.34,37.7,869413,291738,4120,24011,20345
3.64,97436,1.79,3.48,4.68,5.779999999999999,12.54,15.93,17.2,21.3,22.42,23.57,59847,-469820,-619979,-581143,-520057
1.97,56379,3.64,5.43,7.12,8.32,9.42,16.18,19.57,20.84,24.94,26.060000000000002,-286099,-446740,-556089,-580100,-266007
1.47,53241,1.97,5.61,7.3999999999999995,9.09,10.290000000000001,11.39,18.15,21.54,22.81,26.91,-435730,-418437,-529189,-499941,-63297
34.35,92802,1.47,3.44,7.08,8.87,10.56,11.760000000000002,12.860000000000001,19.619999999999997,23.009999999999998,24.279999999999998,-470636,-511093,-578429,-284681,2541
1.36,25274,34.35,35.82,37.79,41.43,43.22,44.910000000000004,46.11,47.21,53.97,57.36,-286685,-334520,-387323,83361,145559
2.17,36473,1.36,35.71,37.18,39.15,42.79,44.58,46.27,47.47,48.57,55.33,-272592,-319594,-438959,142184,122068
6.3,47729,2.17,3.5300000000000002,37.88,39.35,41.32,44.96,46.75,48.440000000000005,49.64,50.74,-246217,-563616,-460215,119885,138559
10.44,36710,6.3,8.469999999999999,9.83,44.18,45.65,47.62,51.26,53.05,54.74,55.94,-169528,-599591,-359894,140047,-6611
1.81,49950,10.44,16.74,18.909999999999997,20.27,54.62,56.089999999999996,58.059999999999995,61.699999999999996,63.489999999999995,65.18,-174415,-521389,-81797,202884,63241
1.04,38600,1.81,12.25,18.549999999999997,20.719999999999995,22.08,56.43,57.9,59.87,63.51,65.3,-150371,-449007,110186,26825,52499
7.16,65393,1.04,2.85,13.29,19.589999999999996,21.759999999999994,23.119999999999997,57.47,58.94,60.91,64.55,-295873,-418193,156836,14652,-3327
1.77,32845,7.16,8.2,10.01,20.45,26.749999999999996,28.919999999999995,30.279999999999998,64.63,66.1,68.07,-157493,-261728,194493,74608,10283
1.85,30753,1.77,8.93,9.969999999999999,11.78,22.22,28.519999999999996,30.689999999999994,32.05,66.39999999999999,67.86999999999999,-405287,-94804,186118,46071,12635
1.41,48180,1.85,3.62,10.78,11.819999999999999,13.629999999999999,24.07,30.369999999999997,32.53999999999999,33.9,68.24999999999999,-433063,87997,192980,-9904,38685
3.53,73523,1.41,3.26,5.03,12.19,13.229999999999999,15.04,25.48,31.779999999999998,33.94999999999999,35.309999999999995,-473082,254141,-13377,-40202,-62311
1.44,31512,3.53,4.9399999999999995,6.789999999999999,8.56,15.719999999999999,16.759999999999998,18.57,29.01,35.309999999999995,37.47999999999999,-364648,553393,54652,40000,-9398
2.62,42236,1.44,4.97,6.379999999999999,8.229999999999999,10.0,17.16,18.2,20.01,30.450000000000003,36.74999999999999,-290346,161911,35809,-38799,-18612
3.51,35079,2.62,4.0600000000000005,7.59,9.0,10.849999999999998,12.620000000000001,19.78,20.82,22.630000000000003,33.07,-491419,278579,24797,-21274,31563
3.44,48929,3.51,6.13,7.57,11.1,12.51,14.359999999999998,16.130000000000003,23.29,24.33,26.14,-451783,-34091,-8811,1093,-222
14.58,58683,3.44,6.949999999999999,9.57,11.01,14.54,15.95,17.799999999999997,19.570000000000004,26.73,27.77,-390463,-96495,19041,59243,35731
3.67,47674,14.58,18.02,21.53,24.15,25.59,29.119999999999997,30.53,32.379999999999995,34.150000000000006,41.31,-331074,17550,78241,38241,50117
8.4,59390,3.67,18.25,21.689999999999998,25.200000000000003,27.82,29.259999999999998,32.79,34.2,36.05,37.82000000000001,-200387,-201183,33043,71842,52137
5.6,35185,8.4,12.07,26.65,30.089999999999996,33.6,36.22,37.66,41.19,42.6,44.449999999999996,-15587,-171482,62081,83355,55675
2.02,65499,5.6,14.0,17.67,32.25,35.69,39.2,41.82,43.26,46.79,48.2,-309803,-197508,92836,91743,53280
9.51,29904,2.02,7.619999999999999,16.02,19.69,34.27,37.71,41.220000000000006,43.84,45.28,48.81,-217108,-205934,122620,63377,27266
9.44,55782,1.01,10.52,12.54,18.14,26.540000000000003,30.210000000000004,44.79,48.23,51.74,54.36,-69891,-224813,-18415,-90257,-129863
2.82,19552,9.44,10.45,19.96,21.979999999999997,27.58,35.980000000000004,39.650000000000006,54.23,57.669999999999995,61.18,78388,-123847,-6475,-89830,-97532
1.16,52287,2.82,12.26,13.27,22.78,24.799999999999997,30.4,38.800000000000004,42.470000000000006,57.05,60.489999999999995,-73969,2034,-13320,-105063,-105380
15.09,56540,1.16,3.9799999999999995,13.42,14.43,23.94,25.959999999999997,31.56,39.96,43.63,58.209999999999994,-15347,-45066,-59578,-122955,-5432
1.05,53461,15.09,16.25,19.07,28.509999999999998,29.52,39.03,41.05,46.65,55.05,58.72,-21430,53122,-46447,-100044,10145
1.86,49979,1.05,16.14,17.3,20.12,29.56,30.57,40.08,42.099999999999994,47.699999999999996,56.099999999999994,-37217,21379,-92516,-2259,-27059
6.32,70429,1.86,2.91,18.0,19.16,21.98,31.419999999999998,32.43,41.94,43.959999999999994,49.559999999999995,-74527,-321106,-132092,-42262,-16839
12.21,32307,6.32,8.18,9.23,24.32,25.48,28.3,37.739999999999995,38.75,48.26,50.279999999999994,30417,-526685,-117208,-12145,-17481
2.63,50880,12.21,18.53,20.39,21.44,36.53,37.69,40.510000000000005,49.949999999999996,50.96,60.47,-4668,-417958,-69951,53004,49831
2.1,63632,1.0,2.0700000000000003,7.44,8.760000000000002,11.32,16.45,17.68,26.830000000000002,34.14,36.6,14122,-277616,-104706,-111161,-85278
1.47,72536,2.1,3.1,4.17,9.540000000000001,10.860000000000001,13.42,18.55,19.78,28.930000000000003,36.24,-67357,-192966,-87354,-118791,-101727
1.01,64307,1.47,3.5700000000000003,4.57,5.64,11.010000000000002,12.330000000000002,14.89,20.02,21.25,30.400000000000002,-177981,-1812,-147271,-123567,-105701
1.77,71971,1.01,2.48,4.58,5.58,6.6499999999999995,12.020000000000001,13.340000000000002,15.9,21.03,22.26,-276755,137692,-245270,-207713,-102594
12.34,63050,1.77,2.7800000000000002,4.25,6.35,7.35,8.42,13.790000000000001,15.110000000000001,17.67,22.8,-315807,154013,-268307,-237098,-173078
2.24,39782,12.34,14.11,15.120000000000001,16.59,18.689999999999998,19.689999999999998,20.759999999999998,26.130000000000003,27.450000000000003,30.01,-239712,207028,-206617,-95456,-57167
1.76,42877,2.24,14.58,16.35,17.36,18.83,20.93,21.93,23.0,28.370000000000005,29.690000000000005,-217328,201109,-224657,-105866,120
1.29,61459,1.76,4.0,16.34,18.110000000000003,19.12,20.59,22.69,23.69,24.76,30.130000000000006,-326411,184682,-221754,-98187,33210
1.53,27942,1.29,3.05,5.29,17.63,19.400000000000002,20.41,21.88,23.98,24.98,26.05,-371493,-36973,-299017,-91304,-98442
1.33,59413,1.53,2.8200000000000003,4.58,6.82,19.16,20.930000000000003,21.94,23.41,25.51,26.51,-354497,-34903,-283830,-46732,-113944
1.71,74249,1.33,2.8600000000000003,4.15,5.91,8.15,20.490000000000002,22.260000000000005,23.270000000000003,24.740000000000002,26.840000000000003,-634000,-70384,-252983,-157527,-116507
1.77,97440,1.71,3.04,4.57,5.86,7.62,9.86,22.200000000000003,23.970000000000006,24.980000000000004,26.450000000000003,-733289,-133698,-300626,-194760,-103336
1.42,97584,1.77,3.48,4.8100000000000005,6.34,7.630000000000001,9.39,11.629999999999999,23.970000000000002,25.740000000000006,26.750000000000004,-770782,-249393,-329378,-231191,-151249
1.05,97786,1.42,3.19,4.9,6.23,7.76,9.05,10.81,13.049999999999999,25.39,27.160000000000004,-765071,-316064,-343570,-252266,-193181
1.28,98509,1.12,4.890000000000001,6.8999999999999995,7.95,9.370000000000001,11.14,12.850000000000001,14.18,15.71,17.0,-332724,-420721,-412423,-181232,-19716
4.68,54345,20.11,21.13,23.99,25.27,26.39,30.16,32.17,33.22,34.64,36.41,-84220,-362799,-204304,-45403,130042
1.87,39561,4.68,24.79,25.81,28.669999999999998,29.95,31.07,34.84,36.85,37.9,39.32,-335298,-301207,-60625,120607,236695
2.3,23705,1.87,6.55,26.66,27.68,30.54,31.82,32.94,36.71,38.72,39.769999999999996,-445050,-348555,-13450,171966,356987
2.22,33042,2.3,4.17,8.85,28.96,29.98,32.839999999999996,34.12,35.239999999999995,39.01,41.019999999999996,-353985,-371535,69026,204830,41381
82.39,30245,2.22,4.52,6.390000000000001,11.07,31.18,32.2,35.059999999999995,36.339999999999996,37.459999999999994,41.23,-585377,-384194,157852,357459,-30850
42.24,30960,82.39,84.61,86.91,88.78,93.46000000000001,113.57,114.59,117.44999999999999,118.72999999999999,119.85,-522261,-350779,49972,95375,53451
1.92,47670,42.24,124.63,126.85,129.15,131.02,135.70000000000002,155.81,156.83,159.69,160.97,-532443,-334935,178622,58015,89880
2.6,70066,1.92,44.160000000000004,126.55,128.76999999999998,131.07,132.94,137.62,157.73,158.75,161.60999999999999,-540857,-334923,248975,77009,76537
2.48,66272,2.6,4.52,46.760000000000005,129.15,131.36999999999998,133.67,135.54,140.22,160.32999999999998,161.35,-451471,-357105,272857,68027,14033
1.1,59450,2.48,5.08,7.0,49.24,131.63,133.84999999999997,136.14999999999998,138.01999999999998,142.7,162.80999999999997,-437909,-213096,438300,80841,-8024
1.56,45977,1.1,3.58,6.18,8.1,50.34,132.73,134.94999999999996,137.24999999999997,139.11999999999998,143.79999999999998,-412679,-288832,67492,-27883,-51441
1.2,88434,1.56,2.66,5.140000000000001,7.74,9.66,51.900000000000006,134.29,136.50999999999996,138.80999999999997,140.67999999999998,-331896,-333930,-46043,-104058,-82205
2.95,63972,1.2,2.76,3.8600000000000003,6.340000000000001,8.94,10.86,53.10000000000001,135.48999999999998,137.70999999999995,140.00999999999996,-420746,-375680,-86703,-163712,-168016
43.47,66621,2.95,4.15,5.71,6.8100000000000005,9.290000000000001,11.89,13.809999999999999,56.05000000000001,138.43999999999997,140.65999999999994,-354177,-407299,-82211,-150238,-108322
1.43,69589,43.47,46.42,47.62,49.18,50.28,52.76,55.36,57.28,99.52000000000001,181.90999999999997,-251463,-272842,18836,-62005,34029
2.51,57277,1.43,44.9,47.85,49.05,50.61,51.71,54.19,56.79,58.71,100.95000000000002,-625089,-303983,-85296,-57413,54858
3.04,65627,2.51,3.9399999999999995,47.41,50.36,51.559999999999995,53.12,54.22,56.699999999999996,59.3,61.22,-873368,-346683,-128956,-24898,43135
3.5,58917,3.04,5.55,6.9799999999999995,50.449999999999996,53.4,54.599999999999994,56.16,57.26,59.739999999999995,62.339999999999996,-773985,-356027,-91055,72657,-33354
1.73,61283,3.5,6.54,9.05,10.48,53.949999999999996,56.9,58.099999999999994,59.66,60.76,63.239999999999995,-742994,-334670,-52065,98173,47264
1.43,59669,1.73,5.23,8.27,10.780000000000001,12.21,55.67999999999999,58.629999999999995,59.82999999999999,61.38999999999999,62.489999999999995,-765828,-597038,-114031,-52026,6901
26.89,60607,1.43,3.16,6.66,9.7,12.21,13.64,57.10999999999999,60.059999999999995,61.25999999999999,62.81999999999999,-840280,-628551,-103759,-46346,-64145
1.08,99435,26.89,28.32,30.05,33.55,36.59,39.1,40.53,84.0,86.94999999999999,88.14999999999999,-762779,-588508,-5191,19707,-35331
2.24,43858,1.08,27.97,29.4,31.130000000000003,34.629999999999995,37.67,40.18,41.61,85.08,88.02999999999999,-741805,-720528,-31535,-104192,-85520
1.51,29774,2.24,3.3200000000000003,30.21,31.64,33.370000000000005,36.87,39.910000000000004,42.42,43.85,87.32,-884431,-686772,-45783,-143956,-50346
20.56,49090,1.51,3.75,4.83,31.720000000000002,33.15,34.88,38.379999999999995,41.42,43.93,45.36,-860951,-718507,-167040,-115014,-127820
1.19,26408,20.56,22.07,24.31,25.39,52.28,53.709999999999994,55.44,58.94,61.980000000000004,64.49,-754144,-650721,-37079,9267,49314
1.19,41281,1.19,21.75,23.26,25.5,26.580000000000002,53.47,54.89999999999999,56.629999999999995,60.129999999999995,63.17,-811019,-639026,-54515,-74222,34403
1.8,39476,1.19,2.38,22.94,24.450000000000003,26.69,27.770000000000003,54.66,56.08999999999999,57.81999999999999,61.31999999999999,-824229,-698950,-120171,-15979,13515
1.65,24869,1.8,2.99,4.18,24.740000000000002,26.250000000000004,28.490000000000002,29.570000000000004,56.459999999999994,57.889999999999986,59.61999999999999,-852583,-662551,-150944,-6988,-66601
1.34,31051,1.65,3.45,4.640000000000001,5.83,26.39,27.900000000000002,30.14,31.220000000000002,58.10999999999999,59.539999999999985,-875537,-597921,-105589,9425,-44173
6.36,41317,1.34,2.99,4.79,5.98,7.17,27.73,29.240000000000002,31.48,32.56,59.449999999999996,-821966,-629000,-87803,-97070,-31777
6.65,65321,6.36,7.7,9.350000000000001,11.15,12.34,13.530000000000001,34.09,35.6,37.84,38.92,-549205,-547393,-106156,-31934,9457
5.06,49534,6.65,13.010000000000002,14.350000000000001,16.0,17.8,18.990000000000002,20.18,40.74,42.25,44.49,-311604,-449296,25962,41941,46031
2.57,48343,5.06,11.71,18.07,19.41,21.06,22.86,24.05,25.24,45.800000000000004,47.31,-184070,-338083,80382,87370,117839
2.32,45056,2.57,7.629999999999999,14.280000000000001,20.64,21.98,23.63,25.43,26.62,27.81,48.370000000000005,-195142,-402170,109720,100295,88056
1.53,60389,2.32,4.89,9.95,16.6,22.96,24.3,25.95,27.75,28.94,30.13,-176459,-377568,48496,145566,71848
1.6,61879,1.53,3.8499999999999996,6.42,11.479999999999999,18.130000000000003,24.490000000000002,25.830000000000002,27.48,29.28,30.470000000000002,-207178,-391860,25412,57346,-20567
1.14,55552,1.6,3.13,5.449999999999999,8.02,13.079999999999998,19.730000000000004,26.090000000000003,27.430000000000003,29.080000000000002,30.880000000000003,-405151,-368178,31755,-10186,-64450
1.38,51675,1.14,2.74,4.27,6.589999999999999,9.16,14.219999999999999,20.870000000000005,27.230000000000004,28.570000000000004,30.220000000000002,-424683,-389780,-11059,-98429,-126156
3.22,42101,1.38,2.5199999999999996,4.12,5.6499999999999995,7.969999999999999,10.54,15.599999999999998,22.250000000000004,28.610000000000003,29.950000000000003,-474219,-403835,-58897,-159192,-128482
2.05,42923,3.22,4.6,5.74,7.34,8.87,11.19,13.76,18.819999999999997,25.470000000000002,31.830000000000002,-458200,-324502,3872,-141694,-59660
1.7,64193,2.05,5.27,6.6499999999999995,7.79,9.39,10.919999999999998,13.239999999999998,15.809999999999999,20.869999999999997,27.520000000000003,-516463,-267070,-49055,-106401,-28539
2.05,62315,1.7,3.75,6.97,8.35,9.49,11.09,12.619999999999997,14.939999999999998,17.509999999999998,22.569999999999997,-526925,-210861,-105135,-94949,-207
1.74,33060,2.05,3.75,5.8,9.02,10.399999999999999,11.54,13.14,14.669999999999998,16.99,19.56,-486664,-124344,-145758,-47329,-31791
1.47,66659,1.74,3.79,5.49,7.54,10.76,12.139999999999999,13.28,14.88,16.409999999999997,18.729999999999997,-565297,-56294,-175662,-16470,-38551
9.13,39632,1.47,3.21,5.26,6.96,9.01,12.23,13.61,14.75,16.35,17.879999999999995,-614679,-276009,-252102,-110408,-75119
6.12,31842,9.13,10.600000000000001,12.34,14.39,16.09,18.14,21.36,22.740000000000002,23.880000000000003,25.480000000000004,-564442,-143721,-164284,-57883,-39093
1.26,43680,6.12,15.25,16.720000000000002,18.46,20.51,22.21,24.26,27.48,28.860000000000003,30.000000000000004,-494895,-33617,-103121,-8172,8091
5.8,38792,1.26,7.38,16.51,17.980000000000004,19.720000000000002,21.770000000000003,23.470000000000002,25.520000000000003,28.740000000000002,30.120000000000005,-571005,-32881,-91670,-44341,34276
1.95,45242,5.8,7.06,13.18,22.310000000000002,23.780000000000005,25.520000000000003,27.570000000000004,29.270000000000003,31.320000000000004,34.54,-547025,122786,-36997,-20527,-1195
1.28,48740,1.95,7.75,9.01,15.129999999999999,24.26,25.730000000000004,27.470000000000002,29.520000000000003,31.220000000000002,33.27,-563091,-200292,-80094,30314,-36633
4.74,27621,1.28,3.23,9.03,10.29,16.41,25.540000000000003,27.010000000000005,28.750000000000004,30.800000000000004,32.5,-618367,-317160,-110715,-52832,-47584
3.77,53851,4.74,6.0200000000000005,7.970000000000001,13.77,15.03,21.15,30.28,31.750000000000007,33.49,35.540000000000006,-632552,-283997,-86586,-78414,-49796
1.62,41963,3.77,8.51,9.790000000000001,11.74,17.54,18.8,24.919999999999998,34.050000000000004,35.52000000000001,37.260000000000005,-628181,-256646,-63276,-18935,-14973
1.71,38187,1.62,5.390000000000001,10.129999999999999,11.41,13.36,19.16,20.42,26.54,35.67,37.14000000000001,-665998,-281804,-67658,-47131,4506
1.47,33589,1.71,3.33,7.1000000000000005,11.84,13.120000000000001,15.07,20.87,22.130000000000003,28.25,37.38,-693692,-342913,-16932,-47246,-5465
4.18,38848,1.47,3.1799999999999997,4.8,8.57,13.31,14.590000000000002,16.54,22.34,23.6,29.72,-745102,-410167,-87824,-34992,-63641
5.3,73538,4.18,5.6499999999999995,7.359999999999999,8.98,12.75,17.490000000000002,18.770000000000003,20.72,26.52,27.78,-724674,-389751,-107159,-28745,-31410
3.65,48894,5.3,9.48,10.95,12.66,14.280000000000001,18.05,22.790000000000003,24.070000000000004,26.02,31.82,-708605,-351500,-45762,-26827,5446
1.28,91774,3.65,8.95,13.13,14.6,16.31,17.93,21.7,26.44,27.720000000000002,29.669999999999998,-557050,-343954,-28440,18691,58189
1.14,20771,1.28,4.93,10.229999999999999,14.41,15.879999999999999,17.59,19.21,22.98,27.720000000000002,29.000000000000004,-666066,-377234,-109450,-62204,-38924
2.11,49094,1.14,2.42,6.069999999999999,11.37,15.55,17.02,18.73,20.35,24.12,28.860000000000003,-690863,-356933,-85816,-50824,-87638
3.29,60983,2.11,3.25,4.529999999999999,8.18,13.479999999999999,17.66,19.13,20.84,22.46,26.23,-675410,-299730,-102436,-73691,-123792
3.59,42383,3.29,5.4,6.54,7.819999999999999,11.469999999999999,16.77,20.95,22.419999999999998,24.13,25.75,-686393,-279094,-104659,-77832,-10182
18.77,79013,3.59,6.88,8.99,10.129999999999999,11.41,15.059999999999999,20.36,24.54,26.009999999999998,27.72,-653924,-381082,-80442,-99133,9880
11.26,42980,18.77,22.36,25.65,27.759999999999998,28.9,30.18,33.83,39.129999999999995,43.31,44.78,-546082,-242099,15518,77722,112489
2.23,43619,11.26,30.03,33.62,36.91,39.019999999999996,40.16,41.44,45.089999999999996,50.38999999999999,54.57,-542815,-196132,85079,135903,126097
1.04,40966,2.23,13.49,32.26,35.849999999999994,39.13999999999999,41.24999999999999,42.38999999999999,43.669999999999995,47.31999999999999,52.61999999999999,-587816,-231789,66907,140598,115939
1.12,30902,1.04,3.27,14.530000000000001,33.3,36.88999999999999,40.17999999999999,42.28999999999999,43.42999999999999,44.709999999999994,48.35999999999999,-625091,-290421,9014,86846,-1058
3.44,23756,1.12,2.16,4.390000000000001,15.650000000000002,34.419999999999995,38.00999999999999,41.29999999999999,43.40999999999999,44.54999999999999,45.82999999999999,-869001,-271963,-42040,57093,-68930
1.49,38886,3.44,4.5600000000000005,5.6,7.83,19.090000000000003,37.85999999999999,41.44999999999999,44.73999999999999,46.84999999999999,47.98999999999999,-838556,-210005,63470,-14252,-42361
1.52,33928,1.49,4.93,6.050000000000001,7.09,9.32,20.580000000000002,39.349999999999994,42.93999999999999,46.22999999999999,48.33999999999999,-888125,-299617,52125,-83778,-44527
1.23,52822,1.52,3.01,6.449999999999999,7.57,8.61,10.84,22.1,40.87,44.459999999999994,47.74999999999999,-941839,-221311,46884,-93714,-34868
1.21,34410,1.23,2.75,4.24,7.68,8.8,9.84,12.07,23.330000000000002,42.099999999999994,45.68999999999999,-945358,-258586,-25275,-112121,-98927
2.97,47927,1.21,2.44,3.96,5.45,8.89,10.010000000000002,11.05,13.280000000000001,24.540000000000003,43.309999999999995,-992118,-273611,-59569,-116662,-101814
7.51,55452,3.69,5.62,8.32,10.11,11.58,14.549999999999999,15.76,16.990000000000002,18.51,20.0,-866361,-237361,-115159,20095,81725
36.77,86635,6.24,13.75,17.439999999999998,19.369999999999997,22.07,23.86,25.33,28.299999999999997,29.509999999999998,30.740000000000002,-667093,-217797,29476,175007,212507
4.14,58010,36.77,43.010000000000005,50.52,54.21,56.14,58.84,60.63,62.1,65.07,66.28,-476781,-138698,200270,293093,216502
3.96,73229,4.14,40.910000000000004,47.150000000000006,54.660000000000004,58.35,60.28,62.980000000000004,64.77,66.24,69.21,-537932,-135762,247569,348806,215409
1.1,77502,3.96,8.1,44.870000000000005,51.11000000000001,58.620000000000005,62.31,64.24,66.94,68.72999999999999,70.19999999999999,-497433,-119865,283157,263062,169780
1.39,41752,1.1,5.0600000000000005,9.2,45.970000000000006,52.21000000000001,59.720000000000006,63.410000000000004,65.33999999999999,68.03999999999999,69.82999999999998,-540858,-148998,240427,171463,-30867
8.14,29424,1.03,2.42,3.5200000000000005,7.48,11.62,48.39000000000001,54.63000000000001,62.14000000000001,65.83,67.75999999999999,-761134,-371354,-37992,-331085,-377645
3.83,45395,5.23,7.83,9.43,11.270000000000001,14.38,16.41,17.6,20.589999999999996,26.830000000000002,27.980000000000004,-436514,766165,1576263,1184167,636350
1.7,66497,3.83,9.06,11.66,13.26,15.100000000000001,18.21,20.240000000000002,21.43,24.419999999999995,30.660000000000004,-381553,827159,1718102,456906,732082
1.51,45212,1.7,5.53,10.76,13.36,14.959999999999999,16.8,19.91,21.94,23.13,26.119999999999994,-432286,767710,1238167,636616,301354
2.78,49701,1.51,3.21,7.04,12.27,14.87,16.47,18.310000000000002,21.42,23.450000000000003,24.64,-429146,703091,963799,632852,-40216
6.71,75603,1.19,2.65,5.26,8.51,9.62,12.65,14.819999999999999,23.07,26.540000000000003,27.630000000000003,-866113,-253629,-854421,-820678,-875510
1.05,16621,2.68,4.44,14.28,15.28,22.17,23.25,38.51,40.05,53.00999999999999,54.59,-893637,-315655,44785,78383,144132
1.14,16537,5.5,6.72,9.190000000000001,10.190000000000001,60.29,61.62,81.69,83.86,85.07,105.08,-985407,717582,27526,25689,8184
9.98,32714,1.14,6.64,7.859999999999999,10.330000000000002,11.330000000000002,61.43,62.76,82.83,85.0,86.21,-947980,772629,-21499,-35900,5404
1.59,56749,9.98,11.120000000000001,16.62,17.84,20.310000000000002,21.310000000000002,71.41,72.74,92.81,94.98,-831219,823033,60826,46917,85724
2.89,46444,1.59,11.57,12.71,18.21,19.43,21.900000000000002,22.900000000000002,73.0,74.33,94.4,-879821,894355,69687,54795,34328
1.54,23477,2.89,4.48,14.46,15.600000000000001,21.1,22.32,24.790000000000003,25.790000000000003,75.89,77.22,-846367,973233,35349,78483,46555
1.03,47563,1.54,4.43,6.0200000000000005,16.0,17.14,22.64,23.86,26.330000000000002,27.330000000000002,77.43,-810751,839011,39781,14092,-24641
1.08,46637,1.03,2.5700000000000003,5.46,7.050000000000001,17.03,18.17,23.67,24.89,27.360000000000003,28.360000000000003,-787211,813771,-54232,-18332,-67723
1.52,37893,1.08,2.1100000000000003,3.6500000000000004,6.54,8.13,18.11,19.25,24.75,25.97,28.440000000000005,-896216,831513,-71771,-118688,-111447
2.31,94717,1.52,2.6,3.6300000000000003,5.17,8.06,9.65,19.63,20.77,26.27,27.49,-892631,735168,-94369,-149164,-128928
3.05,86673,2.31,3.83,4.91,5.94,7.48,10.370000000000001,11.96,21.939999999999998,23.08,28.58,-941510,626040,-87297,-165780,-100893
1.08,33527,3.05,5.359999999999999,6.88,7.96,8.99,10.530000000000001,13.420000000000002,15.010000000000002,24.99,26.13,-816828,675171,-32946,-47038,47009
15.91,60877,1.08,4.13,6.4399999999999995,7.96,9.04,10.07,11.610000000000001,14.500000000000002,16.090000000000003,26.07,-828938,713952,-51174,-32842,48599
15.17,75487,15.91,16.990000000000002,20.04,22.35,23.87,24.95,25.98,27.520000000000003,30.410000000000004,32.0,-776416,986674,-60085,58603,112936
5.02,52624,18.26,20.03,21.53,22.69,37.86,53.769999999999996,54.85000000000001,57.900000000000006,60.21000000000001,61.730000000000004,-330297,904633,148001,89398,39530
1.47,78982,4.09,5.15,10.17,28.43,30.2,31.7,32.86,48.03,63.94,65.02000000000001,9708,809541,126490,72370,25498
1.47,67147,1.47,5.56,6.62,11.64,29.9,31.669999999999998,33.17,34.33,49.5,65.41,561264,563429,151771,87717,-35940
2.18,53988,1.47,2.94,7.029999999999999,8.09,13.110000000000001,31.369999999999997,33.14,34.64,35.8,50.97,514720,484465,80005,-9393,-26561
1.32,51553,2.18,3.6500000000000004,5.12,9.209999999999999,10.27,15.290000000000001,33.55,35.32,36.82,37.98,474274,420970,-14418,-68756,-40826
2.04,63137,1.32,3.5,4.970000000000001,6.44,10.53,11.59,16.61,34.87,36.64,38.14,469667,547545,-19766,-76464,-76784
1.57,69374,2.04,3.3600000000000003,5.54,7.010000000000001,8.48,12.57,13.629999999999999,18.65,36.91,38.68,487576,735583,-17414,-89784,-54893
2.88,72229,1.57,3.6100000000000003,4.930000000000001,7.11,8.58,10.05,14.14,15.2,20.22,38.48,504643,837086,-19649,-107366,-74550
